,halodule,oyster,saltmarsh,richness,depth_m_avg,sal_avg,comm_evenness_sum,omnivore,soniferous_S,num_bai_chr,num_ort_chr,seagrass_area,oyster_core.area,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avg_spl_low,avg_spl_high,BI_low,BI_high
halodule,1,-0.356501706,-0.452767677,0.548621522,-0.175009656,0.10043284,-0.1570606,-0.159942999,0.809772274,0.962112012,0.999557456,0.247096025,0.049304277,-0.423814933,-0.237700165,-0.184369578,-0.436359041,-0.481029848,0.338358614,-0.555890949,0.052339118,-0.522448392,0.453700126
oyster,-0.356501706,1,0.009435381,0.151683673,0.548736084,-0.405726105,0.029741055,0.366844351,-0.152352167,-0.384904434,-0.344615377,0.625769344,0.664116138,-0.287179944,0.589413442,-0.032041137,-0.136524774,0.289386909,-0.008831477,0.57374685,0.60188976,0.72590329,0.14828029
saltmarsh,-0.452767677,0.009435381,1,0.193388335,-0.368468705,-0.220046719,-0.041876765,-0.118122358,-0.48900797,-0.446539593,-0.456471385,-0.430214137,-0.147231143,0.119626623,0.316359356,-0.02123779,0.613467764,0.072613909,0.078398175,0.135925195,0.292988628,0.281212457,-0.359011466
richness,0.548621522,0.151683673,0.193388335,1,-0.16998877,-0.033389028,0.241482301,0.081869602,0.647150229,0.562255498,0.544704779,0.301372286,0.433474371,-0.586238748,0.413614863,0.028163101,-0.207667031,-0.454794027,0.299242967,-0.49562843,0.32229047,-0.223923887,0.090536711
depth_m_avg,-0.175009656,0.548736084,-0.368468705,-0.16998877,1,0.104852195,-0.108540408,-0.113935212,-0.254480287,-0.167962353,-0.161903596,0.146227013,0.408173635,-0.085872583,0.235550485,0.082783354,0.216143729,-0.245246165,-0.174557723,0.575604459,0.288130636,0.583268339,0.095268559
sal_avg,0.10043284,-0.405726105,-0.220046719,-0.033389028,0.104852195,1,0.529260989,-0.401795606,0.200643088,0.100207045,0.078811041,-0.116595207,-0.237346466,0.46573739,0.184547654,0.015638161,0.249055903,-0.161514571,0.031877886,-0.476925669,-0.691257409,-0.533888441,-0.703589928
comm_evenness_sum,-0.1570606,0.029741055,-0.041876765,0.241482301,-0.108540408,0.529260989,1,0.054784865,0.272242853,-0.007964054,-0.172342417,0.101658745,0.373925235,-0.090863221,0.214604759,0.586745313,-0.263060703,-0.046898261,-0.425724421,-0.495039667,-0.633006012,-0.481387017,-0.688841415
omnivore,-0.159942999,0.366844351,-0.118122358,0.081869602,-0.113935212,-0.401795606,0.054784865,1,0.27900326,-0.20957569,-0.161463573,0.401786657,-0.016800988,0.002334075,0.255444709,-0.120977732,-0.432774686,0.352612005,0.268376086,-0.128778048,0.077875555,0.014708434,0.38051192
soniferous_S,0.809772274,-0.152352167,-0.48900797,0.647150229,-0.254480287,0.200643088,0.272242853,0.27900326,1,0.782403229,0.800132264,0.507326618,0.144076399,-0.346636816,0.06044478,-0.096963571,-0.662838567,-0.248451997,0.355978957,-0.781946638,-0.168721679,-0.674805504,0.261919847
num_bai_chr,0.962112012,-0.384904434,-0.446539593,0.562255498,-0.167962353,0.100207045,-0.007964054,-0.20957569,0.782403229,1,0.963859393,0.127841692,0.188912934,-0.573321452,-0.362418146,0.089239438,-0.487323851,-0.620421083,0.08866494,-0.579699428,-0.042193377,-0.5726167,0.392591801
num_ort_chr,0.999557456,-0.344615377,-0.456471385,0.544704779,-0.161903596,0.078811041,-0.172342417,-0.161463573,0.800132264,0.963859393,1,0.246273298,0.063575452,-0.441727253,-0.249303499,-0.176733044,-0.440376236,-0.487950036,0.326720654,-0.535210494,0.070676203,-0.503429022,0.473060201
seagrass_area,0.247096025,0.625769344,-0.430214137,0.301372286,0.146227013,-0.116595207,0.101658745,0.401786657,0.507326618,0.127841692,0.246273298,1,0.41851585,-0.185701524,0.471104853,-0.373404175,-0.603735695,0.435787238,0.370317946,-0.010724407,0.275133009,0.09465951,0.242679059
oyster_core.area,0.049304277,0.664116138,-0.147231143,0.433474371,0.408173635,-0.237346466,0.373925235,-0.016800988,0.144076399,0.188912934,0.063575452,0.41851585,1,-0.801788866,0.150806348,0.541265636,-0.418730719,-0.25691738,-0.482392783,0.212295522,0.316595515,0.283985184,0.066987373
oyster_perim.area.ratio,-0.423814933,-0.287179944,0.119626623,-0.586238748,-0.085872583,0.46573739,-0.090863221,0.002334075,-0.346636816,-0.573321452,-0.441727253,-0.185701524,-0.801788866,1,0.218768419,-0.524631609,0.520365125,0.53391444,0.379525267,0.019768455,-0.380766096,-0.051649032,-0.436716269
habitat_total,-0.237700165,0.589413442,0.316359356,0.413614863,0.235550485,0.184547654,0.214604759,0.255444709,0.06044478,-0.362418146,-0.249303499,0.471104853,0.150806348,0.218768419,1,-0.401283034,0.281342769,0.254669089,0.51729864,0.031427661,0.320380589,0.302339879,-0.322212384
NNratio,-0.184369578,-0.032041137,-0.02123779,0.028163101,0.082783354,0.015638161,0.586745313,-0.120977732,-0.096963571,0.089239438,-0.176733044,-0.373404175,0.541265636,-0.524631609,-0.401283034,1,-0.21221453,-0.463522086,-0.915457772,-0.066409183,-0.358478024,-0.158087636,-0.23787035
dist2adjPatch,-0.436359041,-0.136524774,0.613467764,-0.207667031,0.216143729,0.249055903,-0.263060703,-0.432774686,-0.662838567,-0.487323851,-0.440376236,-0.603735695,-0.418730719,0.520365125,0.281342769,-0.21221453,1,-0.116996841,0.150357346,0.333885479,0.146969899,0.380023203,-0.413080376
richness_landscape,-0.481029848,0.289386909,0.072613909,-0.454794027,-0.245246165,-0.161514571,-0.046898261,0.352612005,-0.248451997,-0.620421083,-0.487950036,0.435787238,-0.25691738,0.53391444,0.254669089,-0.463522086,-0.116996841,1,0.244107085,0.263224299,-0.024943219,0.210644212,-0.13624604
avg_temp,0.338358614,-0.008831477,0.078398175,0.299242967,-0.174557723,0.031877886,-0.425724421,0.268376086,0.355978957,0.08866494,0.326720654,0.370317946,-0.482392783,0.379525267,0.51729864,-0.915457772,0.150357346,0.244107085,1,-0.223580618,0.334567538,-0.030783783,0.245444061
avg_spl_low,-0.555890949,0.57374685,0.135925195,-0.49562843,0.575604459,-0.476925669,-0.495039667,-0.128778048,-0.781946638,-0.579699428,-0.535210494,-0.010724407,0.212295522,0.019768455,0.031427661,-0.066409183,0.333885479,0.263224299,-0.223580618,1,0.572831696,0.937904557,0.187522571
avg_spl_high,0.052339118,0.60188976,0.292988628,0.32229047,0.288130636,-0.691257409,-0.633006012,0.077875555,-0.168721679,-0.042193377,0.070676203,0.275133009,0.316595515,-0.380766096,0.320380589,-0.358478024,0.146969899,-0.024943219,0.334567538,0.572831696,1,0.757698167,0.55678493
BI_low,-0.522448392,0.72590329,0.281212457,-0.223923887,0.583268339,-0.533888441,-0.481387017,0.014708434,-0.674805504,-0.5726167,-0.503429022,0.09465951,0.283985184,-0.051649032,0.302339879,-0.158087636,0.380023203,0.210644212,-0.030783783,0.937904557,0.757698167,1,0.219342901
BI_high,0.453700126,0.14828029,-0.359011466,0.090536711,0.095268559,-0.703589928,-0.688841415,0.38051192,0.261919847,0.392591801,0.473060201,0.242679059,0.066987373,-0.436716269,-0.322212384,-0.23787035,-0.413080376,-0.13624604,0.245444061,0.187522571,0.55678493,0.219342901,1
