,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc,seagrass_area,seagrass_perim.area.ratio,seagrass_shape.index,saltmarsh_area,saltmarsh_perim.area.ratio,saltmarsh_shape.index,oyster_area,oyster_perim.area.ratio,nn_Land,dist2adj,richness_land
bare,1,-0.724937582,-0.465315144,-0.40076148,-0.337362685,-0.194910892,0.022703016,0.185188298,-0.752081857,-0.466927765,-0.343281135,-0.757115137,-0.457836524,-0.6122831,-0.343281135,-1,-0.53923143,-0.155155857,0.242709148,0.226173419,-0.617866057,0.134706157,-0.554642205,0.015727607,0.255223137,0.208553621,-0.182205612,0.390175417,0.095881947,0.116967793,0.156279379
halodule,-0.724937582,1,0.46194773,0.297253753,0.219740599,-0.39009633,-0.452482644,-0.153738578,0.531247037,0.128200203,0.002329243,0.966031733,0.049921955,0.57321612,0.002329243,0.724937582,0.68444865,0.222911768,-0.340642888,-0.358113926,0.579071345,-0.220471052,0.27721045,-0.46663597,-0.292499626,-0.560536476,-0.403002433,-0.476678267,-0.18540435,0.033308996,-0.309597371
zostera,-0.465315144,0.46194773,1,0.296929214,0.378304059,-0.270069896,-0.315386605,-0.127328688,0.330816626,0.42440041,0.348677006,0.627992755,-0.042589893,0.746273071,0.348677006,0.465315144,-0.273379045,0.026640575,0.04385672,0.074382534,0.535394412,0.011409443,0.449282828,-0.280311611,-0.332493447,-0.358603449,-0.2666588,-0.165090389,-0.043085936,0.043240526,-0.208392056
ruppia,-0.40076148,0.297253753,0.296929214,1,0.070175498,-0.14389834,-0.167327395,-0.070919408,0.328351948,0.515288393,0.340286442,0.471683538,-0.012143911,0.695205552,0.340286442,0.40076148,0.037895247,-0.01010682,0.221815037,0.245340449,0.612715422,-0.066491497,0.322314403,-0.085228453,-0.242990383,-0.235336391,-0.169540933,-0.426059727,0.130465125,-0.025793925,-0.088337356
algae,-0.337362685,0.219740599,0.378304059,0.070175498,1,0.079984855,-0.174531442,-0.126383257,0.429157617,0.290818537,0.185110154,0.267610871,0.390891601,0.431175781,0.185110154,0.337362685,0.03891312,-0.015613616,-0.285630934,-0.291846687,0.034482073,0.017619512,0.191932904,0.056708811,-0.137502344,-0.05135517,0.213475193,0.077123116,-0.186890075,-0.238133883,0.002553923
oyster,-0.194910892,-0.39009633,-0.270069896,-0.14389834,0.079984855,1,0.199435495,-0.100509738,0.13320483,0.169203088,0.202705452,-0.399237811,0.45039636,-0.227085252,0.202705452,0.194910892,0.534105421,-0.02382623,-0.626467528,-0.606230357,-0.08426574,0.196063745,0.344301106,0.608868011,0.089847182,0.493771839,0.950224481,0.177072037,0.036913825,-0.144276493,0.193815021
saltmarsh,0.022703016,-0.452482644,-0.315386605,-0.167327395,-0.174531442,0.199435495,1,0.159366938,0.007427195,0.081702015,0.166959366,-0.463574628,0.346419053,-0.331628128,0.166959366,-0.022703016,NA,-0.320211753,0.113559379,0.206106255,-0.324619799,-0.065572677,-0.20801815,0.385440966,0.256657347,0.431267309,0.261896456,0.198124701,0.135470793,-0.142362423,0.228701064
other,0.185188298,-0.153738578,-0.127328688,-0.070919408,-0.126383257,-0.100509738,0.159366938,1,0.084940272,0.040976718,0.041566774,-0.163842443,0.232400059,-0.184708869,0.041566774,-0.185188298,0.411799675,-0.345564459,0.134851563,0.224142945,-0.096287003,0.186720949,0.132407398,0.590409966,-0.136554846,-0.019976768,-0.1429438,0.327710812,-0.131474362,-0.026934584,0.15061384
richness,-0.752081857,0.531247037,0.330816626,0.328351948,0.429157617,0.13320483,0.007427195,0.084940272,1,0.67773362,0.56002343,0.558644792,0.805004243,0.613995431,0.56002343,0.752081857,0.615397178,-0.123167426,-0.01791274,-0.043026119,0.37209655,-0.160360862,0.415086688,0.159342278,-0.043356239,-0.022238041,0.162816658,-0.061670269,0.120827895,-0.365717788,0.044915188
shannonD,-0.466927765,0.128200203,0.42440041,0.515288393,0.290818537,0.169203088,0.081702015,0.040976718,0.67773362,1,0.942815292,0.275904078,0.600344742,0.681415515,0.942815292,0.466927765,0.099393896,-0.061950333,0.051180621,0.097664889,0.278831967,-0.062053173,0.264406447,0.285789869,0.057281799,0.293826562,0.236959211,0.024732156,0.460707342,-0.21274604,0.014434919
