,deploy_num,halodule,saltmarsh,richness,shannonD,richness_comb,total_cover,depth_m_avg,sal_avg,total_abund_sum,comm_shannonD_sum,omnivore,soniferous_S,omni_2,num_bai_chr,num_ops_tau,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,oyster_area,NNratio,richness_landscape,avg_temp,avg_spl_low,avg_spl_high,ToadCallRate,ToadCallRateNorm
deploy_num,1,-0.083695986,0.356182142,0.197385508,0.093050192,0.224661684,0.139769926,0.258768413,-0.566163634,-0.104073296,0.273503228,0.378840514,0.310317965,0.198828011,-0.005775302,-0.183140309,0.080655271,0.002467337,-0.141736427,0.051333039,0.085799701,0.028551136,0.254728317,0.655712403,-0.211463119,0.556571602,-0.465550583,-0.351240313
halodule,-0.083695986,1,-0.452482644,0.581981914,0.137620127,-0.107239982,0.724937582,-0.297837363,0.067602565,0.803096973,0.484838472,0.094235045,0.708199269,0.186853802,0.659253532,0.080058475,0.609134692,0.438382261,-0.220471052,-0.292499625,-0.403002433,-0.18540435,-0.309597371,0.321878499,-0.492794399,0.144102203,0.127933996,0.006536397
saltmarsh,0.356182142,-0.452482644,1,0.070807511,0.120346541,0.588943085,-0.022703016,0.121415512,-0.235550769,-0.396429988,-0.072553536,-0.123046278,-0.427252466,-0.014130017,-0.254601372,-0.109495622,-0.304606198,-0.272080948,-0.065572677,0.256657347,0.261896456,0.135470793,0.228701064,0.079134797,-0.029843706,0.09119469,-0.081872524,-0.059665754
richness,0.197385508,0.581981914,0.070807511,1,0.610076912,0.612870097,0.810357083,0.117387801,-0.026294705,0.591048859,0.603621445,0.247650153,0.565648892,0.152997178,0.513941398,0.028116078,0.424887581,0.498328774,-0.16897729,-0.001187191,0.093818152,0.177390559,0.013035472,0.408630681,-0.58543111,0.400558717,0.276781214,0.180329761
shannonD,0.093050192,0.137620127,0.120346541,0.610076912,1,0.492996534,0.451520201,0.260943824,-0.014326068,0.180168378,0.1294077,-0.185823962,0.182444086,-0.146028305,0.228317972,0.159297552,0.253819291,0.330216837,-0.100362495,0.092230728,0.203096009,0.536036676,-0.022306497,0.095360887,-0.169396845,0.328616006,0.127065626,0.056255513
richness_comb,0.224661684,-0.107239982,0.588943085,0.612870097,0.492996534,1,0.399433522,0.259294633,-0.181871977,-0.051572395,0.202355996,0.086872232,-0.110151656,0.150294308,-0.107448574,-0.061541083,-0.246938465,0.011162623,-0.043048709,0.300137826,0.565801129,0.281566015,0.199726277,0.207385826,-0.252455194,0.325353144,0.329317873,0.346982942
total_cover,0.139769926,0.724937582,-0.022703016,0.810357083,0.451520201,0.399433522,1,0.043001294,-0.119330074,0.590424303,0.493296243,0.123756506,0.520723055,0.041835837,0.595299981,0.024991493,0.515990506,0.660310308,-0.134706157,-0.255223137,0.182205612,-0.095881947,-0.156279379,0.387331799,-0.330448674,0.538089356,0.39726488,0.328462332
depth_m_avg,0.258768413,-0.297837363,0.121415512,0.117387801,0.260943824,0.259294633,0.043001294,1,-0.24130279,-0.068227892,0.022608036,0.007526419,0.042164205,-0.192623061,-0.232670771,0.090070475,-0.133590091,0.047686448,-0.219569464,0.142889184,0.5542786,0.317908519,0.166395238,0.121066943,0.267627017,0.423359846,0.230710792,0.430206269
sal_avg,-0.566163634,0.067602565,-0.235550769,-0.026294705,-0.014326068,-0.181871977,-0.119330074,-0.24130279,1,0.220196903,-0.165051523,-0.050142897,-0.221833221,0.033482199,0.234790029,-0.016264687,0.20820872,0.287422759,0.229668951,0.001911241,-0.198248152,0.007725181,0.009426007,-0.048731789,-0.136125463,-0.434018697,0.144178231,0.001942718
total_abund_sum,-0.104073296,0.803096973,-0.396429988,0.591048859,0.180168378,-0.051572395,0.590424303,-0.068227892,0.220196903,1,0.380631043,0.283436057,0.61568692,0.103596829,0.628489171,0.413378929,0.512822244,0.417821671,-0.122200096,-0.241597993,-0.29597788,-0.104576292,-0.128026824,0.404508472,-0.383014735,0.202520816,0.222646158,0.137019866
comm_shannonD_sum,0.273503228,0.484838472,-0.072553536,0.603621445,0.1294077,0.202355996,0.493296243,0.022608036,-0.165051523,0.380631043,1,0.298068233,0.758659518,0.604773398,0.369969002,-0.013099891,0.338658495,0.42315637,-0.082552702,-0.19664575,-0.214994874,-0.009728133,0.043034445,0.41318747,-0.56335046,0.138845394,-0.111021838,-0.046840178
omnivore,0.378840514,0.094235045,-0.123046278,0.247650153,-0.185823962,0.086872232,0.123756506,0.007526419,-0.050142897,0.283436057,0.298068233,1,0.229257614,0.376996904,0.35368206,-0.085168498,0.102310538,0.209712695,0.066680911,0.015324204,0.080747356,-0.233934459,0.186558017,0.355680484,-0.182865483,0.174519091,-0.199898581,-0.201839436
soniferous_S,0.310317965,0.708199269,-0.427252466,0.565648892,0.182444086,-0.110151656,0.520723055,0.042164205,-0.221833221,0.61568692,0.758659518,0.229257614,1,0.312373918,0.389487924,0.146303901,0.550117491,0.3774557,-0.174447362,-0.299508047,-0.336200062,0.026725319,-0.059171685,0.427245826,-0.478193366,0.3471258,-0.131056974,-0.10259574
omni_2,0.198828011,0.186853802,-0.014130017,0.152997178,-0.146028305,0.150294308,0.041835837,-0.192623061,0.033482199,0.103596829,0.604773398,0.376996904,0.312373918,1,0.101463407,-0.104596858,-0.018535928,0.029084081,0.105517516,-0.18002127,-0.190500505,-0.224153765,0.10327018,0.416930091,-0.358890609,-0.090199688,-0.31507991,-0.213980646
num_bai_chr,-0.005775302,0.659253532,-0.254601372,0.513941398,0.228317972,-0.107448574,0.595299981,-0.232670771,0.234790029,0.628489171,0.369969002,0.35368206,0.389487924,0.101463407,1,-0.103485626,0.693680074,0.627974554,-0.120960396,-0.176119256,-0.273541937,-0.166926229,-0.250159649,0.337319913,-0.378198921,0.080465644,0.064894191,-0.115399393
num_ops_tau,-0.183140309,0.080058475,-0.109495622,0.028116078,0.159297552,-0.061541083,0.024991493,0.090070475,-0.016264687,0.413378929,-0.013099891,-0.085168498,0.146303901,-0.104596858,-0.103485626,1,-0.090546617,-0.026704558,0.030795044,-0.235773997,-0.124319334,0.076951935,-0.100789246,-0.015889919,0.151675733,0.061003167,0.150531642,0.20803527
seagrass_core.area,0.080655271,0.609134692,-0.304606198,0.424887581,0.253819291,-0.246938465,0.515990506,-0.133590091,0.20820872,0.512822244,0.338658495,0.102310538,0.550117491,-0.018535928,0.693680074,-0.090546617,1,0.683421938,-0.246793053,-0.243071767,-0.266423703,0.103505592,-0.116672415,0.352053297,-0.389772887,0.109942381,0.051969615,-0.121263152
seagrass_perimeter,0.002467337,0.438382261,-0.272080948,0.498328774,0.330216837,0.011162623,0.660310308,0.047686448,0.287422759,0.417821671,0.42315637,0.209712695,0.3774557,0.029084081,0.627974554,-0.026704558,0.683421938,1,0.15991002,-0.324674416,0.111416306,-0.057573801,-0.005031529,0.327236316,-0.139414603,0.297251383,0.267490257,0.208035005
seagrass_perim.area.ratio,-0.141736427,-0.220471052,-0.065572677,-0.16897729,-0.100362495,-0.043048709,-0.134706157,-0.219569464,0.229668951,-0.122200096,-0.082552702,0.066680911,-0.174447362,0.105517516,-0.120960396,0.030795044,-0.246793053,0.15991002,1,-0.080068044,0.114305698,-0.149182755,0.493842093,-0.100191584,0.31900107,0.07697251,-0.062760138,0.069246438
saltmarsh_perim.area.ratio,0.051333039,-0.292499625,0.256657347,-0.001187191,0.092230728,0.300137826,-0.255223137,0.142889184,0.001911241,-0.241597993,-0.19664575,0.015324204,-0.299508047,-0.18002127,-0.176119256,-0.235773997,-0.243071767,-0.324674416,-0.080068044,1,0.150585549,0.662191076,0.506166029,-0.085144248,-0.182556989,-0.191831483,-0.097935244,-0.100025895
oyster_area,0.085799701,-0.403002433,0.261896456,0.093818152,0.203096009,0.565801129,0.182205612,0.5542786,-0.198248152,-0.29597788,-0.214994874,0.080747356,-0.336200062,-0.190500505,-0.273541937,-0.124319334,-0.266423703,0.111416306,0.114305698,0.150585549,1,0.129975621,0.234571855,-0.049791412,0.461931952,0.529687552,0.585651228,0.672682563
NNratio,0.028551136,-0.18540435,0.135470793,0.177390559,0.536036676,0.281566015,-0.095881947,0.317908519,0.007725181,-0.104576292,-0.009728133,-0.233934459,0.026725319,-0.224153765,-0.166926229,0.076951935,0.103505592,-0.057573801,-0.149182755,0.662191076,0.129975621,1,0.29440319,-0.067552861,-0.197655133,-0.066940083,-0.03623537,-0.023347236
richness_landscape,0.254728317,-0.309597371,0.228701064,0.013035472,-0.022306497,0.199726277,-0.156279379,0.166395238,0.009426007,-0.128026824,0.043034445,0.186558017,-0.059171685,0.10327018,-0.250159649,-0.100789246,-0.116672415,-0.005031529,0.493842093,0.506166029,0.234571855,0.29440319,1,0.212577577,0.049369606,0.218592992,-0.130667916,-0.032445693
avg_temp,0.655712403,0.321878499,0.079134797,0.408630681,0.095360887,0.207385826,0.387331799,0.121066943,-0.048731789,0.404508472,0.41318747,0.355680484,0.427245826,0.416930091,0.337319913,-0.015889919,0.352053297,0.327236316,-0.100191584,-0.085144248,-0.049791412,-0.067552861,0.212577577,1,-0.487456848,0.446219863,-0.113802556,-0.068185736
avg_spl_low,-0.211463119,-0.492794399,-0.029843706,-0.58543111,-0.169396845,-0.252455194,-0.330448674,0.267627017,-0.136125463,-0.383014735,-0.56335046,-0.182865483,-0.478193366,-0.358890609,-0.378198921,0.151675733,-0.389772887,-0.139414603,0.31900107,-0.182556989,0.461931952,-0.197655133,0.049369606,-0.487456848,1,0.234157312,0.189247516,0.278400323
avg_spl_high,0.556571602,0.144102203,0.09119469,0.400558717,0.328616006,0.325353144,0.538089356,0.423359846,-0.434018697,0.202520816,0.138845394,0.174519091,0.3471258,-0.090199688,0.080465644,0.061003167,0.109942381,0.297251383,0.07697251,-0.191831483,0.529687552,-0.066940083,0.218592992,0.446219863,0.234157312,1,0.22361001,0.288266168
ToadCallRate,-0.465550583,0.127933996,-0.081872524,0.276781214,0.127065626,0.329317873,0.39726488,0.230710792,0.144178231,0.222646158,-0.111021838,-0.199898581,-0.131056974,-0.31507991,0.064894191,0.150531642,0.051969615,0.267490257,-0.062760138,-0.097935244,0.585651228,-0.03623537,-0.130667916,-0.113802556,0.189247516,0.22361001,1,0.91410815
ToadCallRateNorm,-0.351240313,0.006536397,-0.059665754,0.180329761,0.056255513,0.346982942,0.328462332,0.430206269,0.001942718,0.137019866,-0.046840178,-0.201839436,-0.10259574,-0.213980646,-0.115399393,0.20803527,-0.121263152,0.208035005,0.069246438,-0.100025895,0.672682563,-0.023347236,-0.032445693,-0.068185736,0.278400323,0.288266168,0.91410815,1
