,halodule,zostera,ruppia,algae,oyster,saltmarsh,richness,evenness,seagrass,richness_comb,depth_m_avg,sal_avg,comm_shannonD_sum,herbivore,omnivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,avg_temp,avg_spl_low,avg_spl_high,ToadCallRate,ToadCallRateNorm
halodule,1,0.46194773,0.297253753,0.219740598,-0.39009633,-0.452482644,0.581981914,-0.039226889,0.966031733,-0.107239982,-0.282658116,0.067602565,0.484838472,0.080058475,0.094235045,0.325540089,0.659253532,0.733508727,0.080058475,0.579071345,-0.220471052,-0.292499625,-0.285238902,-0.18540435,0.033308996,0.321878499,-0.492794399,0.152909778,0.127933996,0.006536397
zostera,0.46194773,1,0.296929214,0.378304058,-0.270069895,-0.315386605,0.411431084,0.143468726,0.627992755,-0.110691099,0.005251888,-0.08292058,0.402138693,0.266688919,-0.01044477,-0.11102714,0.447172849,0.56064571,0.266688919,0.535394412,0.011409443,-0.332493448,-0.109956281,-0.043085936,0.043240526,0.214669743,-0.141655464,0.267626236,0.030905366,0.001692214
ruppia,0.297253753,0.296929214,1,0.070175498,-0.14389834,-0.167327395,0.386694094,0.310343429,0.471683538,-0.094044939,0.025321714,0.189937349,0.28329766,-0.066441963,-0.100841094,-0.024480209,0.468178134,0.714631352,-0.066441963,0.612715422,-0.066491497,-0.242990383,0.10767944,0.130465125,-0.025793925,0.100688501,-0.307911591,0.103024735,-0.038435429,-0.129289747
algae,0.219740598,0.378304058,0.070175498,1,0.079984855,-0.174531442,0.329479179,-0.045934026,0.267610871,0.243889397,0.050721846,-0.178165435,0.160552702,-0.015188163,-0.033362194,-0.14536527,-0.010733571,0.031195159,-0.015188163,0.034482073,0.017619512,-0.137502344,0.106221978,-0.186890075,-0.238133883,0.077010443,-0.072442463,0.357555771,0.426596672,0.44223845
oyster,-0.39009633,-0.270069895,-0.14389834,0.079984855,1,0.199435495,0.061999329,0.275861442,-0.399237811,0.506479723,0.489236429,-0.169164383,-0.173831352,-0.094164129,0.187416484,-0.160706296,-0.219213896,-0.293074149,-0.094164129,-0.08426574,0.196063745,0.089847182,0.698954596,0.036913825,-0.144276493,-0.047820412,0.439315417,0.44832179,0.50000717,0.608035862
saltmarsh,-0.452482644,-0.315386605,-0.167327395,-0.174531442,0.199435495,1,0.070807511,0.24016277,-0.463574628,0.588943085,0.052052637,-0.235550769,-0.072553536,-0.109495622,-0.123046278,-0.17820348,-0.254601372,-0.341798802,-0.109495622,-0.324619799,-0.065572677,0.256657347,0.275293768,0.135470793,-0.142362423,0.079134797,-0.029843706,0.071254564,-0.081872524,-0.059665754
richness,0.581981914,0.411431084,0.386694094,0.329479179,0.061999329,0.070807511,1,0.504898169,0.626182937,0.612870097,0.11532412,-0.026294705,0.603621445,0.028116078,0.247650153,0.2440831,0.513941398,0.594499838,0.028116078,0.501787094,-0.16897729,-0.001187191,0.269231878,0.177390559,-0.31923662,0.408630681,-0.58543111,0.384450805,0.276781214,0.180329761
evenness,-0.039226889,0.143468726,0.310343429,-0.045934026,0.275861442,0.24016277,0.504898169,1,0.048006036,0.611478416,0.288323259,-0.103737718,0.021478316,0.228432442,-0.186930885,-0.269323069,0.025827798,0.191472908,0.228432442,0.04811545,-0.075670649,0.229563594,0.389925044,0.563582973,-0.171473057,0.032970995,-0.071743947,0.291330137,0.129004375,0.083736194
seagrass,0.966031733,0.627992755,0.471683538,0.267610871,-0.399237811,-0.463574628,0.626182937,0.048006036,1,-0.12608155,-0.227942362,0.071343876,0.526833912,0.107429349,0.058764764,0.242632788,0.710665088,0.835671317,0.107429349,0.68615276,-0.190835177,-0.347643517,-0.238933708,-0.139560054,0.031669534,0.324781444,-0.486225925,0.196183572,0.105194788,-0.015984538
richness_comb,-0.107239982,-0.110691099,-0.094044939,0.243889397,0.506479723,0.588943085,0.612870097,0.611478416,-0.12608155,1,0.239203369,-0.181871977,0.202355996,-0.061541083,0.086872232,-0.127155108,-0.107448574,-0.142243946,-0.061541083,-0.152880692,-0.043048709,0.300137826,0.590871482,0.281566015,-0.369753763,0.207385826,-0.252455194,0.292654509,0.329317873,0.346982942
